  0.000000  0.000000
  0.012500  0.033400
  0.025000  0.044400
  0.050000  0.058900
  0.075000  0.069000
  0.100000  0.076400
  0.150000  0.085200
  0.200000  0.089200
  0.250000  0.090800
  0.300000  0.090500
  0.400000  0.085900
  0.500000  0.077400
  0.600000  0.066100
  0.700000  0.052500
  0.800000  0.037300
  0.900000  0.020400
  0.950000  0.011200
  1.000000  0.001600
  1.000000  -0.00160
  0.950000  -0.00900
  0.900000  -0.01590
  0.800000  -0.02830
  0.700000  -0.03910
  0.600000  -0.04810
  0.500000  -0.05500
  0.400000  -0.05920
  0.300000  -0.05960
  0.250000  -0.05780
  0.200000  -0.05410
  0.150000  -0.04840
  0.100000  -0.04090
  0.075000  -0.03610
  0.050000  -0.03040
  0.025000  -0.02250
  0.012500  -0.01540
  0.000000  0.000000
